sep=,
Steam Sales data for Sauropod Studio: 2016-12-22 - 2017-01-21

Date,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2016-12-22,26276,Castle Story,Retail,Castle Story,Windows,AU,Australia,Oceania,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,AU,Australia,Oceania,1,0,1,19.99,16.99,USD,16.9900,0.0000,0.0000,16.9900,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,BE,Belgium,Western Europe,1,0,1,19.99,16.99,EUR,17.6332,0.0000,-3.0617,14.5715,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,1,0,1,36.99,31.44,BRL,9.7400,0.0000,0.0000,9.7400,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,2,0,2,36.99,36.99,BRL,22.2300,0.0000,0.0000,22.2300,
2016-12-22,26276,Castle Story,Retail,Castle Story,Windows,CA,Canada,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,CA,Canada,North America,3,0,3,21.99,18.69,CAD,41.6800,0.0000,0.0000,41.6800,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,CH,Switzerland,Western Europe,1,0,1,19.00,16.15,CHF,15.7700,0.0000,0.0000,15.7700,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,CN,China,Asia,2,0,2,68.00,57.00,CNY,16.4252,0.0000,0.0000,16.4252,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,CZ,Czech Republic,Eastern Europe,1,0,1,19.99,16.99,EUR,17.8400,0.0000,-3.0976,14.7424,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,DK,Denmark,Western Europe,1,0,1,19.99,16.99,EUR,17.7200,0.0000,-3.5461,14.1739,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,FR,France,Western Europe,2,0,2,19.99,16.99,EUR,35.3525,0.0000,-5.8886,29.4639,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,2,0,2,14.99,12.74,GBP,31.4324,0.0000,-5.2305,26.2019,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,1,0,1,14.99,14.99,GBP,18.2800,0.0000,-3.0487,15.2313,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,IE,Ireland,Western Europe,1,0,1,19.99,16.99,EUR,17.8901,0.0000,-3.3485,14.5416,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,MX,Mexico,Latin America,1,1,0,179.99,152.99,MXN,7.3900,7.3500,0.0000,0.0400,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,NL,Netherlands,Western Europe,1,0,1,19.99,16.99,EUR,17.7163,0.0000,-3.0761,14.6402,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,PL,Poland,Eastern Europe,2,0,2,19.99,16.99,EUR,35.4456,0.0000,-6.6343,28.8113,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,SE,Sweden,Western Europe,2,0,2,19.99,16.99,EUR,35.6133,0.0000,-7.1268,28.4865,
2016-12-22,26276,Castle Story,Steam,Castle Story,Windows,US,United States,North America,11,0,11,19.99,16.99,USD,187.9500,0.0000,-1.0600,186.8900,
2016-12-22,26276,Castle Story,Retail,Castle Story,Windows,VN,Viet Nam,South East Asia,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Steam Gifts
2016-12-22,26276,Castle Story,Retail,Castle Story,Mac,AU,Australia,Oceania,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
