date,net sales,returns
2/10/2016,103,22
2/18/2016,190,18
2/26/2016,232,37
3/5/2016,254,37
3/13/2016,279,35
3/21/2016,259,52
3/29/2016,206,26
4/6/2016,132,24
4/14/2016,148,22
4/22/2016,149,30
4/30/2016,161,19
5/8/2016,171,26
5/16/2016,157,34
5/24/2016,167,41
6/1/2016,147,21
6/9/2016,203,30
6/17/2016,362,47
6/25/2016,451,69
7/3/2016,329,45
7/11/2016,261,42
7/19/2016,243,41
7/27/2016,288,55
8/4/2016,303,43
8/12/2016,312,47
8/20/2016,279,58
8/28/2016,270,53
9/5/2016,222,32
9/13/2016,117,21
9/21/2016,140,19
9/29/2016,203,27
10/7/2016,291,52
10/15/2016,195,27
10/23/2016,268,24
10/31/2016,244,33
11/8/2016,201,33
11/16/2016,140,20
11/24/2016,129,15
12/2/2016,143,13
12/10/2016,163,15
12/18/2016,526,45
12/26/2016,567,87
1/3/2017,203,80
1/11/2017,253,47
1/19/2017,248,61
1/27/2017,318,64
2/4/2017,147,37
